Topplista,Titlar,Platform,MetaScore,UserScore,ReleaseDate,Publishers,Developers
344,Pillars of Eternity II: Deadfire,PlayStation 4,77,4.8,"January 28, 2020",Obsidian Entertainment,Obsidian Entertainment
345,Moon: Remix RPG Adventure,Switch,77,7.9,"August 27, 2020",Onion Games,Onion Games
346,Let's Sing Queen,PlayStation 4,77,NA,"October 2, 2020",Deep Silver,Ravenscourt
347,XCOM 2 Collection,Switch,77,6.6,"May 29, 2020",2K Games,Firaxis Games
348,Call of the Sea,PC,77,7.2,"December 8, 2020",Raw Fury,"Out of the Blue, Inc., Out of the Blue Games S.L."
349,Super Crush K.O.,Switch,77,7.8,"January 16, 2020",Vertex Pop,Vertex Pop
350,Fae Tactics,PC,77,4.8,"July 31, 2020",Humble Bundle,"Humble Bundle, Humble Games"
351,Yakuza 3 Remastered,PlayStation 4,77,7.3,"February 11, 2020",Sega,Ryu ga Gotoku Studios
352,The Turing Test,Switch,77,5.5,"February 7, 2020",Square Enix,Bulkhead Interactive
353,SUPERHOT: MIND CONTROL DELETE,PlayStation 4,77,6.5,"July 16, 2020",SUPERHOT,SUPERHOT
354,Deliver Us The Moon,PlayStation 4,77,6.7,"April 24, 2020",Wired Productions,KeokeN Interactive
355,Ion Fury,Switch,77,7.6,"May 14, 2020",1C Entertainment,"3D Realms, Voidpoint, LLC"
356,Signs of the Sojourner,PC,77,8.1,"May 14, 2020",Echodog Games,Echodog Games
357,A Fold Apart,PC,77,7.8,"April 16, 2020",Lightning Rod Games,Lightning Rod Games
358,FORM,PlayStation 4,77,5.3,"April 7, 2020",Charm Games,Charm Games
359,DOOM 64,Switch,77,8.0,"March 20, 2020",Bethesda Softworks,"id Software, Night Dive Studios"
360,Star Renegades,PC,77,5.9,"September 8, 2020","Massive Damage, Inc.","Massive Damage, Inc."
361,FIFA 21,Xbox One,77,1.0,"October 6, 2020",Electronic Arts,Electronic Arts
362,The Last Campfire,PC,77,7.6,"August 27, 2020",Hello Games,Hello Games
363,XCOM: Chimera Squad,PC,77,4.7,"April 23, 2020",2K Games,Firaxis Games
364,Panzer Paladin,Switch,77,7.0,"July 21, 2020",Tribute Games,Tribute Games
365,Zombie Army 4: Dead War,Xbox One,77,6.8,"February 4, 2020",Rebellion,Rebellion
366,Timelie,PC,77,6.7,"May 20, 2020",Urnique Studio,Urnique Studio
367,Resident Evil 3,PC,77,5.6,"April 3, 2020",Capcom,M-Two
368,Darksiders Genesis,Xbox One,77,5.6,"February 14, 2020",THQ Nordic,Airship Syndicate Entertainment
369,Call of Duty: Black Ops Cold War,Xbox Series X,77,2.9,"November 13, 2020",Activision,"Raven Software, Treyarch"
370,Nioh 2: The Tengu's Disciple,PlayStation 4,77,8.3,"July 30, 2020",Sony Interactive Entertainment,Team Ninja
371,Borderlands 3: Bounty of Blood,PC,77,5.1,"June 25, 2020",Gearbox Publishing,Gearbox Software
372,The Survivalists,PlayStation 4,77,5.0,"October 9, 2020",Team17,Team17
373,Hotshot Racing,PlayStation 4,77,5.8,"September 10, 2020",Sumo Digital,Lucky Mountain Games
374,PGA Tour 2K21,PC,77,7.6,"August 20, 2020",2K Games,HB Studios Multimedia
375,Darksiders Genesis,PlayStation 4,77,7.5,"February 14, 2020",THQ Nordic,Airship Syndicate Entertainment
376,The Pathless,PlayStation 4,77,7.5,"November 12, 2020",Giant Squid,Giant Squid
377,Moving Out,Switch,77,7.0,"April 28, 2020",Team17,SMG Studio
378,Call of the Sea,Xbox Series X,77,7.4,"December 8, 2020",Raw Fury,"Out of the Blue, Inc., Out of the Blue Games S.L."
379,Do Not Feed the Monkeys,Switch,77,NA,"June 1, 2020",Alawar Premium,Alawar Premium
380,Control: The Foundation,PC,77,6.1,"March 26, 2020",505 Games,Remedy Entertainment
381,Immortals: Fenyx Rising,Switch,76,8.0,"December 3, 2020",Ubisoft,Ubisoft Quebec
382,One Piece: Pirate Warriors 4,Xbox One,76,5.9,"March 27, 2020",Bandai Namco Games,Omega Force
